"Participant","CFS.congruent.aligned","CFS.congruent.misaligned","CFS.incongruent.aligned","CFS.incongruent.misaligned","monocular.congruent.aligned","monocular.congruent.misaligned","monocular.incongruent.aligned","monocular.incongruent.misaligned"
"1101",1.45898980378152,1.27981553906851,1.35507275345816,1.28978049262959,2.14908241081285,2.24261375299395,1.21884478760139,1.47066999181739
"1102",2.68128701644526,2.72108303648306,2.72108303648306,2.87906294187691,3.91992796908011,3.88625635455642,2.72108303648306,3.28970725390294
"1103",3.39949545547851,3.52295429314955,2.79520300732748,3.6809341985434,2.47596486043225,2.40026865331194,1.99197061394892,2.28115270451137
"1104",2.71537901090052,2.57944291802495,1.96349299091585,2.99681775396542,2.99639737403384,2.79520300732748,1.82485193734602,2.21614085661808
"1105",3.28970725390294,3.91992796908011,3.39949545547851,3.27783611709874,3.11031336491606,3.88625635455642,3.52295429314955,3.08438509788993
"1106",1.97102268056727,2.28115270451137,1.71092313968987,1.74810950641849,2.40026865331194,2.48436449724809,1.67474989308405,1.42175385590136
"1108",3.6809341985434,3.28970725390294,3.39949545547851,2.92640519249607,3.88625635455642,2.72108303648306,2.12317279911752,3.11031336491606
"1109",2.03729159698093,1.89725720659684,1.60411157054589,1.75817083490283,2.03729159698093,1.78395378891796,1.47066999181739,2.19127861398863
"1110",3.88625635455642,3.39949545547851,3.24151555008465,3.6809341985434,4.201366712145,3.24151555008465,2.28115270451137,3.52295429314955
"1111",2.41372617470993,1.67474989308405,0.841621233572914,2.14908241081285,1.21636119275185,1.17272976913705,0.815831243466243,1.62864989721125
"1112",2.92640519249607,2.21614085661808,2.68128701644526,2.99639737403384,3.28970725390294,2.24261375299395,1.56083390220183,2.63445373473614
"1113",1.67474989308405,1.60411157054589,1.34897950039216,0.871882513130266,1.60907904126956,3.08438509788993,1.59703625993338,1.35317515240295
"1114",2.58988085131446,2.87906294187691,2.08493867144949,2.47596486043225,2.92640519249607,2.43190094592061,1.16026059753729,2.48647486052439
"1115",1.86917858214696,2.72108303648306,1.77621052464639,1.97102268056727,2.58988085131446,2.57944291802495,1.73531375571448,2.03729159698093
"1116",2.58988085131446,3.08438509788993,3.08438509788993,2.99639737403384,2.71537901090052,2.76580324031299,2.1867827698698,2.80158521811297
"1118",3.11031336491606,2.80158521811297,2.11402122113454,2.48647486052439,2.57944291802495,2.12317279911752,2.63445373473614,1.79184841585426
"1119",1.77621052464639,3.39949545547851,1.71092313968987,1.99197061394892,2.43190094592061,2.17584738831459,1.63419351553627,2.34528445094762
"1120",2.48647486052439,1.97102268056727,2.63445373473614,2.31798495503839,2.68128701644526,2.72108303648306,2.24261375299395,2.72108303648306
"1121",1.99197061394892,1.68324246714583,1.60907904126956,2.26769810584576,3.27783611709874,2.03696659190507,2.68128701644526,2.48647486052439
"1122",1.8780546230667,2.30069876075202,2.28115270451137,2.06767056599524,1.9639319836465,2.49474983074075,2.55772411058253,2.21331108767585
